qhcluster,qhnumber,qhhome,ps92_1a,ps92_1m,ps92_1s,ps1,hvidx,hhid
14,106,1,2,0.0,no,1,3,      001410601
20,76,1,1,0.0,no,1,4,      002007601
35,23,1,0,3.0,,1,3,      003502301
49,40,1,2,4.0,no,1,3,      004904001
105,31,1,0,4.0,no,1,3,      010503101
121,25,1,0,1.0,no,1,3,      012102501
130,136,1,2,6.0,no,1,1,      013013601
139,18,1,0,8.0,,1,3,      013901801
147,95,1,2,0.0,,1,2,      014709501
149,54,1,0,1.0,si,1,4,      014905401
149,54,1,0,1.0,no,2,5,      014905401
235,56,1,1,3.0,no,1,1,      023505601
242,127,1,2,0.0,no,1,4,      024212701
252,69,1,0,3.0,,1,3,      025206901
261,23,1,0,2.0,,1,3,      026102301
265,38,1,0,1.0,no,1,4,      026503801
268,22,1,0,0.0,,1,2,      026802201
377,27,1,0,0.0,,1,3,      037702701
431,44,1,0,1.0,no,1,4,      043104401
450,7,1,1,0.0,no,1,3,      045000701
453,54,1,1,4.0,,1,4,      045305401
469,5,1,0,1.0,no,1,4,      046900501
487,30,1,2,0.0,,1,7,      048703001
504,39,1,0,1.0,,1,3,      050403901
522,65,1,0,11.0,,1,3,      052206501
546,1,1,0,1.0,no,1,8,      054600101
578,70,1,no sabe,,,1,2,      057807001
588,22,1,0,1.0,,1,2,      058802201
590,40,1,1,6.0,,1,3,      059004001
597,102,1,0,1.0,,1,3,      059710201
608,95,1,0,0.0,,1,7,      060809501
648,67,1,1,2.0,no,1,4,      064806701
705,31,1,0,8.0,no,1,2,      070503101
886,57,1,2,0.0,no,1,2,      088605701
886,180,1,no sabe,,,1,2,      088618001
942,4,1,0,2.0,no,1,3,      094200401
999,47,1,2,0.0,si,1,3,      099904701
999,47,1,1,0.0,,2,4,      099904701
1022,194,1,0,3.0,no,1,6,      102219401
1088,67,1,1,6.0,no,1,4,      108806701
1093,78,1,2,4.0,no,1,5,      109307801
1134,50,1,0,6.0,no,1,3,      113405001
1140,91,1,0,0.0,no,1,3,      114009101
1141,43,1,0,4.0,no,1,5,      114104301
1182,5,1,0,2.0,no,1,4,      118200501
1207,17,1,0,2.0,no,1,6,      120701701
1236,78,1,0,1.0,no,1,4,      123607801
1352,37,2,0,0.0,,1,5,      135203702
1359,94,1,0,1.0,no,1,3,      135909401
1363,39,1,2,0.0,,1,6,      136303901
1380,112,1,0,0.0,no,1,5,      138011201
1503,93,1,0,10.0,,1,3,      150309301
1508,68,1,2,6.0,,1,3,      150806801
1835,17,1,1,0.0,,1,1,      183501701
1915,98,1,0,1.0,,1,3,      191509801
1927,28,1,2,3.0,,1,4,      192702801
1935,14,2,0,4.0,,1,2,      193501402
1936,91,1,0,7.0,no,1,4,      193609101
1938,28,1,0,0.0,,1,4,      193802801
2029,8,1,1,2.0,,1,3,      202900801
2036,53,1,1,6.0,no,1,3,      203605301
2045,80,1,2,0.0,no,1,2,      204508001
2067,76,1,1,4.0,no,1,3,      206707601
2067,78,1,0,6.0,no,1,7,      206707801
2079,68,1,0,4.0,,1,3,      207906801
2079,81,1,0,4.0,,1,3,      207908101
2080,1,1,0,4.0,no,1,3,      208000101
2080,39,1,0,3.0,,1,3,      208003901
2080,43,1,0,3.0,,1,3,      208004301
2148,14,1,0,6.0,no,1,8,      214801401
2172,16,1,2,8.0,no,1,3,      217201601
2199,22,1,1,6.0,,1,1,      219902201
2204,43,1,0,1.0,no,1,3,      220404301
2236,9,1,2,0.0,no,1,1,      223600901
2286,96,1,0,6.0,,1,6,      228609601
2366,52,1,1,0.0,,1,3,      236605201
2409,103,1,0,2.0,si,1,1,      240910301
2409,103,1,0,2.0,si,2,2,      240910301
2409,103,1,2,6.0,,3,3,      240910301
2447,64,1,0,5.0,,1,3,      244706401
2763,16,1,0,10.0,,1,3,      276301601
2771,58,1,0,3.0,no,1,5,      277105801
2827,72,1,0,5.0,no,1,6,      282707201
2853,11,1,0,4.0,no,1,5,      285301101
2857,78,1,0,6.0,,1,3,      285707801
2861,3,1,0,4.0,no,1,3,      286100301
2867,66,1,0,6.0,no,1,3,      286706601
2900,102,1,0,1.0,no,1,5,      290010201
2941,21,1,2,0.0,no,1,5,      294102101
2954,80,1,2,0.0,,1,3,      295408001
3026,96,1,0,4.0,no,1,4,      302609601
3065,77,1,1,0.0,,1,3,      306507701
3074,96,1,0,2.0,no,1,4,      307409601
3084,80,1,1,3.0,no,1,4,      308408001
3085,30,1,0,4.0,,1,3,      308503001
3086,100,1,1,6.0,,1,4,      308610001
3087,100,1,0,4.0,,1,5,      308710001
3138,46,1,3,8.0,,1,9,      313804601
3174,38,1,0,7.0,,1,8,      317403801
